"pontoId","lat","lon","pathBTS1","pathBTS2","pathBTS3","pathBTS4","pathBTS5","pathBTS6","taBTS1","taBTS2","taBTS3","taBTS4","taBTS5","taBTS6"
293,-8.076039,-34.89455,117.64,101.115,128.99,103.74,125.115,134.54,1,0,2,0,2,2
2184,-8.06714,-34.894188,130.39,125.956666666667,125.023333333333,128.79,121.39,93.8566666666667,0,1,3,1,0,0
1434,-8.070005,-34.897434,104.94,113.89,121.54,108.29,118.49,106.69,1,1,2,1,1,1
1133,-8.071333,-34.89204,110.69,126.965,130.565,107.915,90.04,134.49,0,1,3,1,1,1
2525,-8.065269,-34.886265,121.19,127.84,132.74,126.59,118.94,128.39,1,2,4,2,0,1
339,-8.075802,-34.899921,122.156666666667,113.59,122.023333333333,128.856666666667,136.323333333333,138.156666666667,2,1,1,1,2,2
2331,-8.066221,-34.893471,120.99,115.94,123.04,120.29,116.94,106.64,0,1,3,1,0,0
2798,-8.062984,-34.887005,126.19,137.223333333333,141.09,143.523333333333,141.156666666667,148.556666666667,1,3,5,3,0,1
209,-8.07641,-34.895725,120.323333333333,95.19,127.29,120.456666666667,132.023333333333,138.19,1,0,2,0,2,2
2073,-8.068153,-34.899975,106.34,108.34,120.09,100.34,128.84,106.09,1,1,2,1,2,1
863,-8.072692,-34.896442,103.156666666667,104.49,120.623333333333,99.0233333333333,119.59,129.79,1,0,2,0,1,1
2356,-8.06601,-34.89679,117.04,104.34,122.74,106.54,122.74,92.94,0,2,3,2,1,0
1002,-8.072313,-34.894688,87.54,110.49,110.89,87.59,106.94,116.54,0,0,2,0,1,1
1899,-8.068761,-34.889,119.79,133.156666666667,133.19,123.623333333333,100.29,124.223333333333,0,1,4,1,0,1
2727,-8.06363,-34.89642,133.056666666667,108.123333333333,130.156666666667,125.39,126.656666666667,119.923333333333,1,2,3,2,1,0
1669,-8.069386,-34.895351,106.256666666667,122.623333333333,118.556666666667,110.256666666667,120.456666666667,111.756666666667,0,1,2,1,1,0
